bar_idx,entry_i,exit_i,side,entry_px,exit_px,exit_type,pnl_pct,pnl_usd,hold,equity,entry_atr
1282,1280,1282,LONG,64767.4,64189.700827815584,SL,-4.834799005243514,-0.1190696569268754,2,4.806457000861382,577.6991721844163
1288,1283,1288,LONG,64448.9,63849.041151133686,SL,-5.0287555246584095,-0.12085248598557383,5,4.685604514875808,599.8588488663128
1290,1289,1290,LONG,64072.6,63461.42943171564,SL,-5.1443598221733025,-0.12052217804460469,1,4.565082336831203,611.1705682843609
1292,1291,1292,LONG,63338.5,62701.267214081345,SL,-5.4053747793100095,-0.12337990464490495,1,4.441702432186299,637.2327859186577
1312,1293,1312,LONG,63045.9,64972.87409418755,TP,14.907310936853504,0.3310691962278981,19,4.772771628414197,642.324698062516
1315,1313,1315,LONG,65851.3,65209.33401183599,SL,-5.2493607807591465,-0.12527000100858726,2,4.647501627405609,641.9659881640099
1325,1316,1325,LONG,64860.9,66796.33915014176,TP,14.544922095914195,0.33798774555624517,9,4.985489372961855,645.1463833805859
1329,1326,1329,LONG,67367.2,69225.35907402486,TP,13.41627434437577,0.3344334658431309,3,5.3199228388049855,619.3863580082887
1333,1330,1333,LONG,69008.6,68312.7616677667,SL,-5.416678372212366,-0.1440815549139679,3,5.1758412838910175,695.8383322333078
1350,1334,1350,LONG,67958.3,67165.1717485705,SL,-6.210403853756638,-0.1607203232795474,16,5.01512096061147,793.1282514294952
1370,1351,1370,LONG,66612.4,65926.76957509092,SL,-5.52141737055771,-0.1384528799368412,19,4.876668080674628,685.6304249090721
1376,1371,1376,LONG,65895.9,65313.67262537339,SL,-4.792781490400841,-0.11686402255942976,5,4.759804058115199,582.2273746266088
1389,1377,1389,LONG,65277.1,64681.79133238833,SL,-4.934858415981,-0.11744479557305153,12,4.642359262542147,595.3086676116676
1401,1390,1401,LONG,63787.6,65743.25526684469,TP,14.95443132242548,0.34711921382856165,11,4.989478476370708,651.885088948231
1427,1402,1427,LONG,66316.4,65576.70828170926,SL,-5.951989389432574,-0.14848661475080333,25,4.840991861619905,739.6917182907307
1446,1428,1446,LONG,65625.0,67694.53791392033,TP,15.392907915583468,0.3725847097300209,18,5.213576571349926,689.8459713067781
1457,1447,1457,LONG,69404.7,68487.27734071195,SL,-6.984225738948843,-0.18206397840801408,10,5.031512592941912,917.422659288043
1463,1458,1463,LONG,68353.5,67633.29843928698,SL,-5.643212752185475,-0.14196948013635802,5,4.889543112805554,720.2015607130207
1471,1464,1471,LONG,66616.0,68784.24301194535,TP,15.899190974730928,0.38869889864837914,7,5.2782420114539335,722.747670648451
1482,1472,1482,LONG,68280.4,67417.77406999307,SL,-6.691790250254279,-0.17660444215364982,10,5.101637569300284,862.6259300069183
1487,1483,1487,LONG,67750.6,70002.34515083222,TP,16.242898224017267,0.4143268990698368,4,5.51596446837012,750.5817169440705
